,name,country,eu_group,national_group,twitter,facebook,instagram,linkedin,email,Website,website,e-mail
124822,Dietmar Köster,Germany,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Sozialdemokratische Partei Deutschlands,,,,,dietmar.koester@europarl.europa.eu,,,
130833,Stelios Kouloglou,Greece,The Left group in the European Parliament - GUE/NGL,Coalition of the Radical Left,SteliosKoul,stelioskouloglou,stelioskouloglou,,stelios.kouloglou@europarl.europa.eu,,,
197699,Elena Kountoura,Greece,The Left group in the European Parliament - GUE/NGL,Coalition of the Radical Left,,,,,,,,
118949,Ondřej Kovařík,Czechia,Renew Europe Group,ANO 2011,,,,,ondrej.kovarik@europarl.europa.eu,,,
97968,Andrey Kovatchev,Bulgaria,Group of the European People's Party (Christian Democrats),Citizens for European Development of Bulgaria,andreykovatchev,Andrey-Kovatchev-133004451640,,,andrey.kovatchev@europarl.europa.eu,http://www.andrey-kovatchev.eu,,
197481,Maximilian Krah,Germany,Identity and Democracy Group,Alternative für Deutschland,krahmax,maximilian.krah,maximilian28,,maximilian.krah@europarl.europa.eu,http://www.maximiliankrah.de,,
124891,Zdzisław Krasnodębski,Poland,European Conservatives and Reformists Group,Prawo i Sprawiedliwość,,,,,,,,
1854,Constanze Krehl,Germany,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Sozialdemokratische Partei Deutschlands,,,,,constanze.krehl@europarl.europa.eu,,,
197532,Elżbieta Kruk,Poland,European Conservatives and Reformists Group,Prawo i Sprawiedliwość,,kruk.elzbieta,,,elzbieta.kruk@europarl.europa.eu,,,
197843,Andrius Kubilius,Lithuania,Group of the European People's Party (Christian Democrats),Tėvynės sąjunga-Lietuvos krikščionys demokratai,kubiliusa?lang=en,kubilius.lt,,,andrius.kubilius@europarl.europa.eu,https://elpnariai.lt/,,
197395,Alice Kuhnke,Sweden,Group of the Greens/European Free Alliance,Miljöpartiet de gröna,,,alicebahkuhnke,,alice.kuhnke@europarl.europa.eu,,,
197482,Joachim Kuhs,Germany,Identity and Democracy Group,Alternative für Deutschland,,,,,,,,
124735,Miapetra Kumpula-Natri,Finland,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Suomen Sosialidemokraattinen Puolue/Finlands Socialdemokratiska Parti,,,,,,,,
28389,Zbigniew Kuźmiuk,Poland,European Conservatives and Reformists Group,Prawo i Sprawiedliwość,,,,,,,,
197692,Stelios Kympouropoulos,Greece,Group of the European People's Party (Christian Democrats),Nea Demokratia,,,,,,,,
125063,Georgios Kyrtsos,Greece,Group of the European People's Party (Christian Democrats),Nea Demokratia,GiorgosKyrtsos,giorgoskyrtsos,george_kyrtsos,,georgios.kyrtsos@europarl.europa.eu,http://www.kyrtsos.gr/,,
124866,Ilhan Kyuchyuk,Bulgaria,Renew Europe Group,Movement for Rights and Freedoms,,,,,,,,
204421,Jean-Lin Lacapelle,France,Identity and Democracy Group,Rassemblement national,jllacapelle,jeanlin.lacapelle,,,jean-lin.lacapelle@europarl.europa.eu,,,
197460,Sergey Lagodinsky,Germany,Group of the Greens/European Free Alliance,Bündnis 90/Die Grünen,slagodinsky,slagodinsky,slagodinsky,,sergey.lagodinsky@europarl.europa.eu,http://www.lagodinsky.de,,
197737,Ioannis Lagos,Greece,Non-attached Members,Independent,iwlagos,,,,ioannis.lagos@europarl.europa.eu,,,
197697,Aurore Lalucq,France,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Place publique,AuroreLalucq,aurore.lalucq,aurore.lalucq,,aurore.lalucq@europarl.europa.eu,https://aurore-lalucq.eu,,
96648,Philippe Lamberts,Belgium,Group of the Greens/European Free Alliance,Ecologistes Confédérés pour l'Organisation de Luttes Originales,,philippelambertseurope,,,philippe.lamberts@europarl.europa.eu,http://www.philippelamberts.eu/,,
192635,Danilo Oscar Lancini,Italy,Identity and Democracy Group,Lega,doscarlancini,DOscarLancini,danilooscarlancini,it.danilooscarlancini,danilooscar.lancini@europarl.europa.eu,https://www.europadaoscarlancini.it/,,
1909,Bernd Lange,Germany,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Sozialdemokratische Partei Deutschlands,berndlange,bernd.lange.europa,,,bernd.lange@europarl.europa.eu,,,
38398,Esther De Lange,Netherlands,Group of the European People's Party (Christian Democrats),Christen Democratisch Appèl,Esther_de_Lange,EstherdeLangeCDA,esther.delange,,esther.delange@europarl.europa.eu,https://estherdelange.nl/,,
197461,Katrin Langensiepen,Germany,Group of the Greens/European Free Alliance,Bündnis 90/Die Grünen,k_langensiepen,KLangensiepen,katrinlangensiepen,,katrin.langensiepen@europarl.europa.eu,http://katrin-langensiepen.eu,,
197597,Hélène Laporte,France,Identity and Democracy Group,Rassemblement national,helenelaportern,HeleneLaporteRN,,,helene.laporte@europarl.europa.eu,,,
197698,Pierre Larrouturou,France,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Nouvelle Donne,larrouturou,larrouturoupierre,pierre.larrouturou,,pierre.larrouturou@europarl.europa.eu,,,
124738,Gilles Lebreton,France,Identity and Democracy Group,Rassemblement national,gilles_lebreton?lang=en,fr-fr.gilleslebreton.fn,,,gilles.lebreton@europarl.europa.eu,,,
197686,Julie Lechanteux,France,Identity and Democracy Group,Rassemblement national,,,,,,,,
197393,David Lega,Sweden,Group of the European People's Party (Christian Democrats),Kristdemokraterna,,,,,,,,
96796,Ryszard Antoni Legutko,Poland,European Conservatives and Reformists Group,Prawo i Sprawiedliwość,,,,,ryszardantoni.legutko@europarl.europa.eu,http://www.rlegutko.pl,,
197635,Maria-Manuel Leitão-Marques,Portugal,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Partido Socialista,leitaomarquesep,mariamanuelleitaomarques,mariamanuelleitaomarques,,maria.marques@europarl.europa.eu,,,
95074,Jeroen Lenaers,Netherlands,Group of the European People's Party (Christian Democrats),Christen Democratisch Appèl,,,,,,,,
23781,Janusz Lewandowski,Poland,Group of the European People's Party (Christian Democrats),Platforma Obywatelska,J_Lewandowski,Lewandowski.Janusz,janusz_lewandowski,,janusz.lewandowski@europarl.europa.eu,http://www.januszlewandowski.pl,,
204336,Miriam Lexmann,Slovakia,Group of the European People's Party (Christian Democrats),Kresťanskodemokratické hnutie,MiriamMLex,miriamlexmann.sk,miriamlexmann,,miriam.lexmann@europarl.europa.eu,https://lexmann.eu/,,
23768,Bogusław Liberadzki,Poland,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Sojusz Lewicy Demokratycznej,,,,,,,,
1927,Peter Liese,Germany,Group of the European People's Party (Christian Democrats),Christlich Demokratische Union Deutschlands,,,,,,,,
197483,Sylvia Limmer,Germany,Identity and Democracy Group,Alternative für Deutschland,,,,,sylvia.limmer@europarl.europa.eu,,,
124808,Norbert Lins,Germany,Group of the European People's Party (Christian Democrats),Christlich Demokratische Union Deutschlands,linsnorbert,norbert.lins,norbertlins.mdep,,norbert.lins@europarl.europa.eu,http://www.norbert-lins.de/,,
197611,Elena Lizzi,Italy,Identity and Democracy Group,Lega,,,,,,,,
197494,Nathalie Loiseau,France,Renew Europe Group,Liste Renaissance,,,,,Nathalie.Loiseau@europarl.europa.eu,,,
96709,Morten Løkkegaard,Denmark,Renew Europe Group,"Venstre, Danmarks Liberale Parti",loekkegaard_mep,morten.lokkegaard,mortenlokkegaard,,morten.lokkegaard@europarl.europa.eu,,,
125042,Javi López,Spain,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Partit dels Socialistes de Catalunya,javilopezEU,javi.lopez.fer,javilopezeu,,javi.lopez@europarl.europa.eu,http://javilopez.eu/,,
96812,Juan Fernando López Aguilar,Spain,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Partido Socialista Obrero Español,,,,,,,,
197777,Leopoldo López Gil,Spain,Group of the European People's Party (Christian Democrats),Partido Popular,LeopoldoLopezG,,,,leopoldo.lopez@europarl.europa.eu,,,
28399,Antonio López-Istúriz White,Spain,Group of the European People's Party (Christian Democrats),Partido Popular,,,,,,,,
197721,César Luena,Spain,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Partido Socialista Obrero Español,,,,,,,,
96791,Elżbieta Katarzyna Łukacijewska,Poland,Group of the European People's Party (Christian Democrats),Platforma Obywatelska,,,,,,,,
124996,Peter Lundgren,Sweden,European Conservatives and Reformists Group,Sverigedemokraterna,,,,,peter.lundgren@europarl.europa.eu,,,
197458,Benoît Lutgen,Belgium,Group of the European People's Party (Christian Democrats),Centre Démocrate Humaniste,,,,,,,,
124806,David Mcallister,Germany,Group of the European People's Party (Christian Democrats),Christlich Demokratische Union Deutschlands,davidmcallister,david.mcallister,,,david.mcallister@europarl.europa.eu,https://www.david-mcallister.de/,,
205452,Chris Macmanus,Ireland,The Left group in the European Parliament - GUE/NGL,Sinn Féin,macmanuschris,ChrisMacManusMEP,macmanus_sinnfein_sligo,,chris.macmanus@europarl.europa.eu,,,
197493,Jaak Madison,Estonia,Identity and Democracy Group,Eesti Konservatiivne Rahvaerakond,,,,,,,,
197719,Cristina Maestre Martín De Almagro,Spain,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Partido Socialista Obrero Español,crismaestre,cristina.maestremartin,,,cristina.maestre@europarl.europa.eu,,,
197592,Pierfrancesco Majorino,Italy,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Partito Democratico,,,,,pierfrancesco.majorino@europarl.europa.eu,,,
197835,Aušra Maldeikienė,Lithuania,Group of the European People's Party (Christian Democrats),Independent,,,,,,,,
197735,Adriana Maldonado López,Spain,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Partido Socialista Obrero Español,,,,,,,,
197653,Claudiu Manda,Romania,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Partidul Social Democrat,,,,,iulian-claudiu.manda@europarl.europa.eu,,,
4560,Antonius Manders,Netherlands,Group of the European People's Party (Christian Democrats),Christen Democratisch Appèl,ToineMandersEP,toine.manders.5,,,antonius.manders@europarl.europa.eu,http://www.toinemanders.nl,,
190713,Lukas Mandl,Austria,Group of the European People's Party (Christian Democrats),Österreichische Volkspartei,lukasmandl,lukasmandl.eu,lukasmandl,mandl,lukas.mandl@europarl.europa.eu,http://www.lukasmandl.eu/,,
197623,Thierry Mariani,France,Identity and Democracy Group,Rassemblement national,,,,,,,,
33982,Marian-Jean Marinescu,Romania,Group of the European People's Party (Christian Democrats),Partidul Naţional Liberal,MarianMarinescu,marianjean.marinescu,,,marian-jean.marinescu@europarl.europa.eu,,,
209896,Colm Markey,Ireland,Group of the European People's Party (Christian Democrats),Fine Gael Party,colmmarkey,,,,colm.markey@europarl.europa.eu,http://colmmarkey.com/,,
197462,Erik Marquardt,Germany,Group of the Greens/European Free Alliance,Bündnis 90/Die Grünen,,,,,,,,
197638,Margarida Marques,Portugal,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Partido Socialista,,,,,,,,
197634,Pedro Marques,Portugal,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Partido Socialista,,,,,,,,
124828,Fulvio Martusciello,Italy,Group of the European People's Party (Christian Democrats),Forza Italia,fulviomartuscie,MartuscielloFulvio,,fulviomartusciello,fulvio.martusciello@europarl.europa.eu,http://www.fulviomartusciello.com/,,
96820,Marisa Matias,Portugal,The Left group in the European Parliament - GUE/NGL,Bloco de Esquerda,mmatias_,MATIAS.Marisa,marisa_matias,,marisa.matias@europarl.europa.eu,,,
197441,Predrag Fred Matić,Croatia,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Socijaldemokratska partija Hrvatske,,,,,,,,
96936,Gabriel Mato,Spain,Group of the European People's Party (Christian Democrats),Partido Popular,GabrielMatoA,gabriel.mato.7,,,gabriel.mato@europarl.europa.eu,http://www.gabrielmato.com/,,
208722,Sara Matthieu,Belgium,Group of the Greens/European Free Alliance,Groen,,,,,,,,
24505,Emmanuel Maurel,France,The Left group in the European Parliament - GUE/NGL,Gauche républicaine et socialiste,,,,,,,,
124691,Costas Mavrides,Cyprus,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Democratic Party,,,,,,,,
197522,Radka Maxová,Czechia,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Independent,,,,,radka.maxova@europarl.europa.eu,,,
98341,Eva Maydell,Bulgaria,Group of the European People's Party (Christian Democrats),Citizens for European Development of Bulgaria,EvaMaydell,EvaMaydell,evamaydell?hl=en,,eva.maydell@europarl.europa.eu,http://evamaydell.eu/,,
38511,Georg Mayer,Austria,Identity and Democracy Group,Freiheitliche Partei Österreichs,,,,,georg.mayer@europarl.europa.eu,,,
197538,Beata Mazurek,Poland,European Conservatives and Reformists Group,Prawo i Sprawiedliwość,,,,,beata.mazurek@europarl.europa.eu,,,
197841,Liudas Mažylis,Lithuania,Group of the European People's Party (Christian Democrats),Tėvynės sąjunga-Lietuvos krikščionys demokratai,,,,,liudas.mazylis@europarl.europa.eu,http://elpnariai.lt/,,
204418,Nora Mebarek,France,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Parti socialiste,,,,,nora.mebarek@europarl.europa.eu,,,
197662,Vangelis Meimarakis,Greece,Group of the European People's Party (Christian Democrats),Nea Demokratia,v_meimarakis,vmeimarakis,,,evangelos.meimarakis@europarl.europa.eu,http://www.meimarakis.gr/,,
130256,Dace Melbārde,Latvia,European Conservatives and Reformists Group,"Nacionālā apvienība ""Visu Latvijai!""-""Tēvzemei un Brīvībai/LNNK""",,DaceMelbardeEU,,,dace.melbarde@europarl.europa.eu,,,
197567,Karen Melchior,Denmark,Renew Europe Group,Det Radikale Venstre,,,,,,,,
124765,Joëlle Mélin,France,Identity and Democracy Group,Rassemblement national,,,,,,,,
96978,Nuno Melo,Portugal,Group of the European People's Party (Christian Democrats),Partido do Centro Democrático Social-Partido Popular,nunomelocds,pagesNuno-Melo204951230547,nunomelo2014,,nuno.melo@europarl.europa.eu,,,
118859,Roberta Metsola,Malta,Group of the European People's Party (Christian Democrats),Partit Nazzjonalista,,,,,,,,
193292,Tilly Metz,Luxembourg,Group of the Greens/European Free Alliance,Déi Gréng - Les Verts,MetzTilly,TillyMetzMEP,metztilly,,tilly.metz@europarl.europa.eu,http://www.tillymetz.lu,,
190518,Jörg Meuthen,Germany,Identity and Democracy Group,Alternative für Deutschland,,,,,joerg.meuthen@europarl.europa.eu,,,
120478,Martina Michels,Germany,The Left group in the European Parliament - GUE/NGL,DIE LINKE.,martina_michels,Martina-Michels,,,martina.michels@europarl.europa.eu,http://www.martina-michels.de,,
125128,Iskra Mihaylova,Bulgaria,Renew Europe Group,Movement for Rights and Freedoms,,,,,iskra.mihaylova@europarl.europa.eu,,,
197497,Sven Mikser,Estonia,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Sotsiaaldemokraatlik Erakond,,,,,sven.mikser@europarl.europa.eu,,,
197824,Giuseppe Milazzo,Italy,Group of the European People's Party (Christian Democrats),Forza Italia,giuseppemilaz11,giuseppe.milazzo.927,,,giuseppe.milazzo@europarl.europa.eu,,,
28400,Francisco José Millán Mon,Spain,Group of the European People's Party (Christian Democrats),Partido Popular,pacomillanmon,business.GrupoPPE,,,francisco.millanmon@europarl.europa.eu,,,
197540,Leszek Miller,Poland,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Sojusz Lewicy Demokratycznej,LeszekMillerstatus456143806295855104,MillerLeszek,,,leszek.miller@europarl.europa.eu,,,
212855,Alin Mituța,Romania,Renew Europe Group,"Partidul Libertate, Unitate și Solidaritate",,,,,,,,
197805,Silvia Modig,Finland,The Left group in the European Parliament - GUE/NGL,Vasemmistoliitto,,silviamodig,,,silvia.modig@europarl.europa.eu,,,
124722,Csaba Molnár,Hungary,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Demokratikus Koalíció,,drmolnarcsaba,,,csaba.molnar@europarl.europa.eu,,,
124734,Cláudia Monteiro De Aguiar,Portugal,Group of the European People's Party (Christian Democrats),Partido Social Democrata,cmonteiroaguiar,claudiamonteirodeaguiar,claudiamonteiroaguiar,,claudia.monteirodeaguiar@europarl.europa.eu,https://claudiamonteirodeaguiar.eu/home-portugal/,,
197711,Dolors Montserrat,Spain,Group of the European People's Party (Christian Democrats),Partido Popular,,,,,,,,
72779,Nadine Morano,France,Group of the European People's Party (Christian Democrats),Les Républicains,nadine__morano,Nadine.Morano,nadinemorano,,nadine.morano@europarl.europa.eu,http://www.nadinemorano.fr/,,
28347,Javier Moreno Sánchez,Spain,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Partido Socialista Obrero Español,,,,,javier.morenosanchez@europarl.europa.eu,,,
124799,Alessandra Moretti,Italy,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Partito Democratico,ale_moretti,alessandramorettiPD,,,alessandra.moretti@europarl.europa.eu,http://www.alessandramoretti.eu,,
197427,Marlene Mortler,Germany,Group of the European People's Party (Christian Democrats),Christlich-Soziale Union in Bayern e.V.,,,marlene.mortler.csu,,marlene.mortler@europarl.europa.eu,http://www.marlenemortler.eu,,
197647,Dan-Ştefan Motreanu,Romania,Group of the European People's Party (Christian Democrats),Partidul Naţional Liberal,,,dan.motreanu,,dan-stefan.motreanu@europarl.europa.eu,,,
197541,Andżelika Anna Możdżanowska,Poland,European Conservatives and Reformists Group,Prawo i Sprawiedliwość,,andzelika.mozdzanowska.5,,,andzelikaanna.mozdzanowska@europarl.europa.eu,,,
124862,Ulrike Müller,Germany,Renew Europe Group,Freie Wähler,ulimuellermdep,UlrikeMuellerMdL,,,ulrike.mueller@europarl.europa.eu,http://www.mueller-ulrike.de/,,
124802,Siegfried Mureşan,Romania,Group of the European People's Party (Christian Democrats),Partidul Naţional Liberal,,,,,,,,
190519,Caroline Nagtegaal,Netherlands,Renew Europe Group,Volkspartij voor Vrijheid en Democratie,,,,,,,,
125005,Javier Nart,Spain,Renew Europe Group,Independiente,,,,,javier.nart@europarl.europa.eu,,,
88882,Victor Negrescu,Romania,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Partidul Social Democrat,negrescuvictor,it-it.victornegrescu,victor_negrescu,,victor.negrescu@europarl.europa.eu,,,
197464,Hannah Neumann,Germany,Group of the Greens/European Free Alliance,Bündnis 90/Die Grünen,@Hannah_LBerg,HannahNeumann.LBerg,hannah_lberg,,hannah.neumann@europarl.europa.eu,http://www.hannahneumann.eu,,
96844,Norbert Neuser,Germany,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Sozialdemokratische Partei Deutschlands,,norbert.neuser,,,norbert.neuser@europarl.europa.eu,,,
124784,Dan Nica,Romania,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Partidul Social Democrat,,,,,dan.nica@europarl.europa.eu,,,
4289,Angelika Niebler,Germany,Group of the European People's Party (Christian Democrats),Christlich-Soziale Union in Bayern e.V.,,,,,,,,
124701,Luděk Niedermayer,Czechia,Group of the European People's Party (Christian Democrats),TOP 09 a Starostové,LudekNie,Niedermayer.Ludek,ludekniedermayer,,ludek.niedermayer@europarl.europa.eu,https://www.niedermayer.cz/,,
197465,Niklas Nienass,Germany,Group of the Greens/European Free Alliance,Bündnis 90/Die Grünen,,,,,,,,
197802,Ville Niinistö,Finland,Group of the Greens/European Free Alliance,Vihreä liitto,villeniinisto,,villeniinisto,,ville.niinisto@europarl.europa.eu,https://www.villeniinisto.fi,,
197734,Lefteris Nikolaou-Alavanos,Greece,Non-attached Members,Communist Party of Greece,,,,,lefteris.nikolaou@europarl.europa.eu,,,
202112,Gheorghe-Vlad Nistor,Romania,Group of the European People's Party (Christian Democrats),Partidul Naţional Liberal,,,,,gheorghe-vlad.nistor@europarl.europa.eu,,,
124836,Maria Noichl,Germany,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Sozialdemokratische Partei Deutschlands,,noichl.eu,,,maria.noichl@europarl.europa.eu,http://maria-noichl.eu/,,
28294,Ljudmila Novak,Slovenia,Group of the European People's Party (Christian Democrats),Nova Slovenija – Krščanski demokrati,ljudmilanovak,ljudmila.novak,ljudmila.novak,,Ljudmila.novak@europarl.europa.eu,https://www.ljudmilanovak.eu/,,
107212,Andrey Novakov,Bulgaria,Group of the European People's Party (Christian Democrats),Citizens for European Development of Bulgaria,andreynovakov,andrey.novakov,novakov.a,,andrey.novakov@europarl.europa.eu,http://andreynovakov.eu/,,
197542,Janina Ochojska,Poland,Group of the European People's Party (Christian Democrats),Independent,JaninaOchojska,janka.ochojska,jankaochojska,,janina.ochojska@europarl.europa.eu,http://www.jankaochojska.pl,,
197432,Jan-Christoph Oetjen,Germany,Renew Europe Group,Freie Demokratische Partei,,,,,,,,
28288,Jan Olbrycht,Poland,Group of the European People's Party (Christian Democrats),Platforma Obywatelska,JanOlbrycht,J.Olbrycht,janolbrycht,,jan.olbrycht@europarl.europa.eu,http://janolbrycht.pl/,,
197838,Juozas Olekas,Lithuania,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Lietuvos socialdemokratų partija,,juozas.olekas.5,,,juozas.olekas@europarl.europa.eu,,,
197687,Philippe Olivier,France,Identity and Democracy Group,Rassemblement national,,,,,,,,
30482,Younous Omarjee,France,The Left group in the European Parliament - GUE/NGL,La France Insoumise,,,,,,,,
197889,Grace O'Sullivan,Ireland,Group of the Greens/European Free Alliance,Green Party,,,,,,,,
129073,Urmas Paet,Estonia,Renew Europe Group,Eesti Reformierakond,urmaspaet,urmaspaet1,,,urmas.paet@europarl.europa.eu,http://urmaspaet.eu/,,
125038,Maite Pagazaurtundúa,Spain,Renew Europe Group,Delegación Ciudadanos Europeos,,,,,maite.pagaza@europarl.europa.eu,,,
99283,Alessandro Panza,Italy,Identity and Democracy Group,Lega,alepanzaoff,alepanzaoff,alepanzaoff,,alessandro.panza@europarl.europa.eu,,,
124692,Demetris Papadakis,Cyprus,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Movement for Social Democracy EDEK,,,,,demetris.papadakis@europarl.europa.eu,,,
125093,Kostas Papadakis,Greece,Non-attached Members,Communist Party of Greece,,,,,konstantinos.papadakis@europarl.europa.eu,,,
28586,Dimitrios Papadimoulis,Greece,The Left group in the European Parliament - GUE/NGL,Coalition of the Radical Left,papadimoulis,papadimoulis,,,dimitrios.papadimoulis@europarl.europa.eu,http://www.papadimoulis.gr,,
36392,Aldo Patriciello,Italy,Group of the European People's Party (Christian Democrats),Forza Italia,PatricielloAldo,AldoPatriciello,aldopatriciello57,,aldo.patriciello@europarl.europa.eu,http://www.patriciello.it/,,
197466,Jutta Paulus,Germany,Group of the Greens/European Free Alliance,Bündnis 90/Die Grünen,juttapaulusrlp,JuttaPaulusRLP,jutta.paulus,,jutta.paulus@europarl.europa.eu,https://www.jutta-paulus.de/,,
124844,Piernicola Pedicini,Italy,Group of the Greens/European Free Alliance,Independent,,,,,,,,
197563,Mauri Pekkarinen,Finland,Renew Europe Group,Suomen Keskusta,,,,,mauri.pekkarinen@europarl.europa.eu,,,
197539,Mikuláš Peksa,Czechia,Group of the Greens/European Free Alliance,PIRÁTI,vonpecka,peksamikulas,,,mikulas.peksa@europarl.europa.eu,,,
197527,Anne-Sophie Pelletier,France,The Left group in the European Parliament - GUE/NGL,La France Insoumise,,,,,,,,
197845,Tsvetelina Penkova,Bulgaria,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Bulgarian Socialist Party,tsvetypenkova,Tsvetelina.M.Penkova,tsvetelina_penkova,,tsvetelina.penkova@europarl.europa.eu,https://www.tsvetelinapenkova.eu/,,
197754,Sandra Pereira,Portugal,The Left group in the European Parliament - GUE/NGL,Partido Comunista Português,,,,,,,,
197738,Lídia Pereira,Portugal,Group of the European People's Party (Christian Democrats),Partido Social Democrata,,,,,,,,
197573,Kira Marie Peter-Hansen,Denmark,Group of the Greens/European Free Alliance,Socialistisk Folkeparti,kira_mph,Kira.M.P.Hansen,kiraphansen?hl=da,,kira.peter-hansen@europarl.europa.eu,,,
124872,Morten Petersen,Denmark,Renew Europe Group,Det Radikale Venstre,mortenhelveg,morten.h.petersen.75,,,mortenhelveg.petersen@europarl.europa.eu,,,
124846,Pina Picierno,Italy,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Partito Democratico,pinapic,pinapic,,,giuseppina.picierno@europarl.europa.eu,,,
112744,Tonino Picula,Croatia,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Socijaldemokratska partija Hrvatske,,,,,,,,
28224,Markus Pieper,Germany,Group of the European People's Party (Christian Democrats),Christlich Demokratische Union Deutschlands,markuspiepermep,markuspieperMEP,markuspiepermep?igshid=157d7sm20rmlr,,markus.pieper@europarl.europa.eu,http://www.markus-pieper.eu/,,
40599,Sirpa Pietikäinen,Finland,Group of the European People's Party (Christian Democrats),Kansallinen Kokoomus,spietikainen,MEPsirpapietikainen,sirpapietikainen,,sirpa.pietikainen@europarl.europa.eu,https://www.sirpapietikainen.net/,,
197619,Sabrina Pignedoli,Italy,Non-attached Members,Movimento 5 Stelle,SabriPignedoli,SabriPignedoli,,,sabrina.pignedoli@europarl.europa.eu,,,
197828,Manu Pineda,Spain,The Left group in the European Parliament - GUE/NGL,Izquierda Unida,,,,,,,,
197629,Maxette Pirbakas,France,Identity and Democracy Group,Rassemblement national,,Maxette Grisoni Pirbakas,,,maxette.pirbakas@europarl.europa.eu,,,
197590,Giuliano Pisapia,Italy,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Independent,giulianopisapia,giulianopisapia1,,,giuliano.pisapia@europarl.europa.eu,,,
197663,Dragoș Pîslaru,Romania,Renew Europe Group,"Partidul Libertate, Unitate și Solidaritate",dragos_pislaru,Dragos.Pislaru,dragos.pislaru?hl=en,,dragos.pislaru@europarl.europa.eu,https://dragospislaru.eu/,,
197732,Manuel Pizarro,Portugal,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Partido Socialista,,pt-br.manuelpizarro17,,,manuel.pizarro@europarl.europa.eu,,,
38595,Rovana Plumb,Romania,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Partidul Social Democrat,,,,,rovana.plumb@europarl.europa.eu,,,
124704,Stanislav Polčák,Czechia,Group of the European People's Party (Christian Democrats),Starostové a nezávisli,stanislavpolcak,spolcak,,,stanislav.polcak@europarl.europa.eu,http://www.stanislav-polcak.cz/,,
197404,Jessica Polfjärd,Sweden,Group of the European People's Party (Christian Democrats),Moderaterna,jessicapolfjard,,polfjard,,jessica.polfjard@europarl.europa.eu,,,
197765,Peter Pollák,Slovakia,Group of the European People's Party (Christian Democrats),Obyčajní ľudia a nezávislé osobnosti,,peterpollak.sk,peter_pollak_olano,,peter.pollak@europarl.europa.eu,,,
204443,Clara Ponsatí Obiols,Spain,Non-attached Members,Junts per Catalunya - Lliures per Europa,claraponsati,,,,clara.ponsatiobiols@europarl.europa.eu,,,
96801,Tomasz Piotr Poręba,Poland,European Conservatives and Reformists Group,Prawo i Sprawiedliwość,,,,,tomasz.poreba@europarl.europa.eu,,,
125706,Jiří Pospíšil,Czechia,Group of the European People's Party (Christian Democrats),TOP 09 a Starostové,,,,,,,,
197820,Nicola Procaccini,Italy,European Conservatives and Reformists Group,Fratelli d'Italia,,procaccini2019,procaccininicola,,nicola.procaccini@europarl.europa.eu,,,
202351,Carles Puigdemont I Casamajó,Spain,Non-attached Members,Junts per Catalunya - Lliures per Europa,KRLS?ref_src=twsrc%5Egoogle%7Ctwcamp%5Eserp%7Ctwgr%5Eauthor,KRLSPuigdemont,carlespuigdemont,,carles.puigdemonticasamajo@europarl.europa.eu,,,
197764,Miroslav Radačovský,Slovakia,Non-attached Members,Slovak PATRIOT,radacovskymep,radacovskypatriot,,,miroslav.radacovsky@europarl.europa.eu,https://slovenskypatriot.sk/,,
